DateKey,Date,Day,Month,MonthShort,MonthN0,Quarter,Year,Semester
20190101,1/1/2019,Tuesday,January,Jan,1,1,2019,1
20190102,1/2/2019,Wednesday,January,Jan,1,1,2019,1
20190103,1/3/2019,Thursday,January,Jan,1,1,2019,1
20190104,1/4/2019,Friday,January,Jan,1,1,2019,1
20190105,1/5/2019,Saturday,January,Jan,1,1,2019,1
20190106,1/6/2019,Sunday,January,Jan,1,1,2019,1
20190107,1/7/2019,Monday,January,Jan,1,1,2019,1
20190108,1/8/2019,Tuesday,January,Jan,1,1,2019,1
20190109,1/9/2019,Wednesday,January,Jan,1,1,2019,1
20190110,1/10/2019,Thursday,January,Jan,1,1,2019,1
20190111,1/11/2019,Friday,January,Jan,1,1,2019,1
20190112,1/12/2019,Saturday,January,Jan,1,1,2019,1
20190113,1/13/2019,Sunday,January,Jan,1,1,2019,1
20190114,1/14/2019,Monday,January,Jan,1,1,2019,1
20190115,1/15/2019,Tuesday,January,Jan,1,1,2019,1
20190116,1/16/2019,Wednesday,January,Jan,1,1,2019,1
20190117,1/17/2019,Thursday,January,Jan,1,1,2019,1
20190118,1/18/2019,Friday,January,Jan,1,1,2019,1
20190119,1/19/2019,Saturday,January,Jan,1,1,2019,1
20190120,1/20/2019,Sunday,January,Jan,1,1,2019,1
20190121,1/21/2019,Monday,January,Jan,1,1,2019,1
20190122,1/22/2019,Tuesday,January,Jan,1,1,2019,1
20190123,1/23/2019,Wednesday,January,Jan,1,1,2019,1
20190124,1/24/2019,Thursday,January,Jan,1,1,2019,1
20190125,1/25/2019,Friday,January,Jan,1,1,2019,1
20190126,1/26/2019,Saturday,January,Jan,1,1,2019,1
20190127,1/27/2019,Sunday,January,Jan,1,1,2019,1
20190128,1/28/2019,Monday,January,Jan,1,1,2019,1
20190129,1/29/2019,Tuesday,January,Jan,1,1,2019,1
20190130,1/30/2019,Wednesday,January,Jan,1,1,2019,1
20190131,1/31/2019,Thursday,January,Jan,1,1,2019,1
20190201,2/1/2019,Friday,February,Feb,2,1,2019,1
20190202,2/2/2019,Saturday,February,Feb,2,1,2019,1
20190203,2/3/2019,Sunday,February,Feb,2,1,2019,1
20190204,2/4/2019,Monday,February,Feb,2,1,2019,1
20190205,2/5/2019,Tuesday,February,Feb,2,1,2019,1
20190206,2/6/2019,Wednesday,February,Feb,2,1,2019,1
20190207,2/7/2019,Thursday,February,Feb,2,1,2019,1
20190208,2/8/2019,Friday,February,Feb,2,1,2019,1
20190209,2/9/2019,Saturday,February,Feb,2,1,2019,1
20190210,2/10/2019,Sunday,February,Feb,2,1,2019,1
20190211,2/11/2019,Monday,February,Feb,2,1,2019,1
20190212,2/12/2019,Tuesday,February,Feb,2,1,2019,1
20190213,2/13/2019,Wednesday,February,Feb,2,1,2019,1
20190214,2/14/2019,Thursday,February,Feb,2,1,2019,1
20190215,2/15/2019,Friday,February,Feb,2,1,2019,1
20190216,2/16/2019,Saturday,February,Feb,2,1,2019,1
20190217,2/17/2019,Sunday,February,Feb,2,1,2019,1
20190218,2/18/2019,Monday,February,Feb,2,1,2019,1
20190219,2/19/2019,Tuesday,February,Feb,2,1,2019,1
20190220,2/20/2019,Wednesday,February,Feb,2,1,2019,1
20190221,2/21/2019,Thursday,February,Feb,2,1,2019,1
20190222,2/22/2019,Friday,February,Feb,2,1,2019,1
20190223,2/23/2019,Saturday,February,Feb,2,1,2019,1
20190224,2/24/2019,Sunday,February,Feb,2,1,2019,1
20190225,2/25/2019,Monday,February,Feb,2,1,2019,1
20190226,2/26/2019,Tuesday,February,Feb,2,1,2019,1
20190227,2/27/2019,Wednesday,February,Feb,2,1,2019,1
20190228,2/28/2019,Thursday,February,Feb,2,1,2019,1
20190301,3/1/2019,Friday,March,Mar,3,1,2019,1
20190302,3/2/2019,Saturday,March,Mar,3,1,2019,1
20190303,3/3/2019,Sunday,March,Mar,3,1,2019,1
20190304,3/4/2019,Monday,March,Mar,3,1,2019,1
20190305,3/5/2019,Tuesday,March,Mar,3,1,2019,1
20190306,3/6/2019,Wednesday,March,Mar,3,1,2019,1
20190307,3/7/2019,Thursday,March,Mar,3,1,2019,1
20190308,3/8/2019,Friday,March,Mar,3,1,2019,1
20190309,3/9/2019,Saturday,March,Mar,3,1,2019,1
20190310,3/10/2019,Sunday,March,Mar,3,1,2019,1
20190311,3/11/2019,Monday,March,Mar,3,1,2019,1
20190312,3/12/2019,Tuesday,March,Mar,3,1,2019,1
20190313,3/13/2019,Wednesday,March,Mar,3,1,2019,1
20190314,3/14/2019,Thursday,March,Mar,3,1,2019,1
20190315,3/15/2019,Friday,March,Mar,3,1,2019,1
20190316,3/16/2019,Saturday,March,Mar,3,1,2019,1
